Gold	Predictions	Probabilities	Filename
Réunion	['Réunion', 'Martinique', 'Guadeloupe', 'Mayotte', 'Hauts-de-France']	[0.9999997615814209, 2.887663299588894e-07, 8.222051696361352e-21, 1.8017645937601294e-25, 1.5312998375610361e-37]	h6t3fMhQ-sjymbTzGW3jCg
Réunion	['Hauts-de-France', 'Grand Est', 'Réunion', 'Ile-de-France', 'New Aquitaine']	[0.9976584911346436, 0.0014172372175380588, 0.0009242142550647259, 6.702997345679274e-16, 1.545363240980837e-22]	dRv5RFyY-BKhQcrxORNwpw
Réunion	['Hauts-de-France', 'Ile-de-France', 'Grand Est', 'Martinique', 'New Aquitaine']	[1.0, 8.04273877043956e-16, 6.708894812574532e-16, 6.307187168578246e-23, 4.933708171537159e-25]	AV30A7CNneCTS5mWPjHRpQ
Réunion	['Réunion', 'Martinique', 'Mayotte', 'Grand Est', 'Guadeloupe']	[1.0, 9.43201072800548e-09, 4.1138643242687655e-17, 1.6808319094365472e-19, 4.798808756060046e-21]	8OXDXjvMJ4SLYQpgGj_shw
Réunion	['Réunion', 'Martinique', 'Mayotte', 'Guadeloupe', 'Hauts-de-France']	[1.0, 2.5553194976657423e-11, 1.2554071822899748e-13, 8.317194430469856e-21, 1.9660432132689332e-27]	EDKbowgrOKZLgPgsGSI_Uw
Réunion	['Réunion', 'Martinique', 'Guadeloupe', 'Mayotte', 'Centre-Loire Valley']	[0.9999983310699463, 1.6362200767616741e-06, 5.249454493229824e-32, 1.110164695376693e-40, 0.0]	016tJbeJTjQUcFfmqUuFiA
Réunion	['Réunion', 'Martinique', 'Hauts-de-France', 'Mayotte', 'Grand Est']	[1.0, 1.3507155463554632e-11, 5.537329992781464e-17, 5.5534255212947046e-18, 2.6818843357845728e-21]	8vK7qjZnFKr2Z1g33MU-Jw
Réunion	['Martinique', 'Réunion', 'Guadeloupe', 'Mayotte', 'French Guiana']	[0.9987934827804565, 0.0012065161718055606, 6.0622782835362266e-12, 3.762695335087793e-24, 2.4438527553595357e-30]	xeWIG_chwIoDDORjjw6lYg
Réunion	['Réunion', 'Martinique', 'Guadeloupe', 'Hauts-de-France', 'Auvergne-Rhône-Alpes']	[1.0, 4.279714616112076e-18, 4.9676161056936205e-29, 1.3258595474176436e-33, 1.877739942195255e-43]	TfyEhI7xW38f5UXkCgEboQ
Réunion	['Réunion', 'Martinique', 'Mayotte', 'Guadeloupe', 'French Guiana']	[1.0, 1.5394871461950192e-16, 1.2689395288860753e-16, 1.9326243565033044e-29, 1.0358381029133518e-35]	wNyHTwunJEHvrnOqHgVRdA
Réunion	['Réunion', 'Guadeloupe', 'Martinique', 'Auvergne-Rhône-Alpes', 'Hauts-de-France']	[1.0, 6.276698010135816e-25, 1.1945415813051585e-27, 1.4694399719951583e-35, 1.3547034294616563e-35]	TynviBbBe8LVDWmwref0bQ
Réunion	['Réunion', 'Martinique', 'Hauts-de-France', 'Guadeloupe', 'Ile-de-France']	[1.0, 6.339140878885985e-10, 5.217863986072208e-15, 1.7143269226069235e-15, 4.6157653641480915e-27]	Y1aknYzzI6B5pD71HZWpbw
Réunion	['Réunion', 'Martinique', 'Mayotte', 'Guadeloupe', 'French Guiana']	[0.9367712140083313, 0.06322882324457169, 3.4208601007401086e-22, 2.8490914447165122e-22, 1.6592965154562697e-35]	7sjpOKhViKIQxE0-fan0Kg
Réunion	['Hauts-de-France', 'Martinique', 'Réunion', 'Ile-de-France', 'Grand Est']	[1.0, 5.3556222905917425e-14, 4.583703208660417e-14, 6.341437063891815e-18, 3.5947020726212596e-22]	ITv0M7SOEZTFYqDVwK2GIQ
Réunion	['Réunion', 'Martinique', 'Guadeloupe', 'Mayotte', 'French Guiana']	[1.0, 1.5664427627194374e-14, 1.9661243055075844e-21, 9.509651159262354e-24, 5.901789426152089e-33]	ixJOrjqGGZ04BJUwPWF7jg
Réunion	['Réunion', 'Martinique', 'Guadeloupe', 'French Guiana', 'Mayotte']	[1.0, 2.997108822735706e-16, 8.197966966205286e-29, 1.162616292991515e-30, 6.032146239528511e-32]	0dAgAs0Kqn1cqms-F4nvqA
Réunion	['Mayotte', 'Réunion', 'Martinique', 'Guadeloupe', 'French Guiana']	[0.9999996423721313, 3.6307943673818954e-07, 1.0618248855080259e-16, 1.0442072916320011e-23, 2.446464743077978e-25]	7MJA4ajLB0oNqMmqOBJ5jA
Réunion	['Martinique', 'Réunion', 'Guadeloupe', 'Mayotte', 'French Guiana']	[0.9503678679466248, 0.04963219165802002, 6.832456273150845e-17, 1.737885167073138e-18, 6.641640886949333e-34]	xAfkyfqtc285Vkk4Sx4VEQ
Réunion	['Réunion', 'Mayotte', 'Martinique', 'Guadeloupe', 'French Guiana']	[1.0, 3.633848864176281e-12, 6.591973349150864e-15, 1.4180151846860383e-23, 2.545907075954614e-40]	5drWW6_d6GCcKKGg4CxOEw
Réunion	['Réunion', 'Martinique', 'Guadeloupe', 'Mayotte', 'Centre-Loire Valley']	[1.0, 3.024931176311314e-14, 3.959954011851706e-22, 4.096766125376819e-40, 0.0]	Wpoenp4bAvBInUjuNZoaAw
Réunion	['Réunion', 'Martinique', 'Mayotte', 'Guadeloupe', 'French Guiana']	[1.0, 4.712940446433868e-15, 1.6500941565628573e-21, 3.40021113603699e-25, 7.38107229218715e-33]	e93OM3a6nxq2ndCuIHVR1Q
Réunion	['Réunion', 'Martinique', 'Guadeloupe', 'French Guiana', 'Mayotte']	[1.0, 2.557647725432131e-28, 1.1258480277894164e-39, 2.6834865591820247e-42, 2.802596928649634e-45]	cJlzs7Nj7RHdQJPZlZpnaw
Réunion	['Réunion', 'Mayotte', 'Martinique', 'Hauts-de-France', 'Guadeloupe']	[1.0, 1.6883558082419342e-13, 1.2620526639809532e-13, 1.5681789046047826e-26, 6.250975172316853e-29]	mZGEMv4H9MDWVNYI_sdnMg
Réunion	['Réunion', 'Martinique', 'Mayotte', 'Guadeloupe', 'Centre-Loire Valley']	[1.0, 1.675891408577026e-24, 1.380032959444847e-26, 2.4832219419595355e-31, 0.0]	xmd5gYhwUmB1yYAx1dI8Lg
Réunion	['Réunion', 'Mayotte', 'French Guiana', 'Martinique', 'Hauts-de-France']	[0.9997859597206116, 0.0002140152209904045, 3.009736421677109e-14, 1.578791658704436e-17, 1.659824546256815e-18]	IYmbdTBeyQgQ6cd5CTlwwg
Réunion	['Réunion', 'Mayotte', 'Martinique', 'Guadeloupe', 'Hauts-de-France']	[0.8474713563919067, 0.15252862870693207, 2.3423379867117643e-14, 4.597596370116224e-16, 2.38412389300352e-27]	jzpfWAF3ryTIosa-SyKd_A
Réunion	['Réunion', 'Martinique', 'Guadeloupe', 'New Aquitaine', 'Centre-Loire Valley']	[1.0, 9.99938132295597e-10, 9.964056044846472e-38, 0.0, 0.0]	yEZBu28UKUsKKNDxILcXRg
Réunion	['Réunion', 'Martinique', 'Mayotte', 'Guadeloupe', 'French Guiana']	[1.0, 1.8546614910519565e-08, 1.8983084548729323e-10, 6.441235789373962e-15, 6.799582135209919e-25]	heIeKGUkThyznKkkAlQtyg
Réunion	['Réunion', 'Mayotte', 'Martinique', 'Hauts-de-France', 'Guadeloupe']	[0.9999997615814209, 1.9188495059552224e-07, 8.023283890820429e-22, 2.848279258586623e-40, 2.2925242876354007e-41]	5fuCNK56S7cEOeb3j9akBg
Réunion	['Réunion', 'Martinique', 'Guadeloupe', 'Mayotte', 'Centre-Loire Valley']	[1.0, 3.1966196357816873e-23, 3.6402178706274287e-34, 3.7406844684946436e-35, 0.0]	afgtzNV9Lxi4bzhAjBNAbQ
Réunion	['Réunion', 'Martinique', 'Guadeloupe', 'Mayotte', 'Hauts-de-France']	[1.0, 4.622298995436957e-21, 9.218095796097471e-30, 2.2664494048825897e-30, 6.423733970640537e-32]	4vfoLiz6ls3tDOAxQPrW7g
Réunion	['Réunion', 'Mayotte', 'Martinique', 'Hauts-de-France', 'Grand Est']	[1.0, 3.5925470442714697e-16, 1.855024215329231e-21, 4.880811793790856e-23, 7.977925461621051e-24]	-5ObOZLsl1w9rrQ-FC-CzA
Réunion	['Martinique', 'Réunion', 'Guadeloupe', 'Mayotte', 'French Guiana']	[0.9999527931213379, 4.7177421947708353e-05, 8.73140330467026e-22, 1.0540330510964545e-27, 8.084312245847233e-39]	d_ivO8ksLlTiV_n5GosY0A
Réunion	['Réunion', 'Martinique', 'French Guiana', 'Mayotte', 'Guadeloupe']	[0.9999982118606567, 1.8442608507029945e-06, 3.314006838048278e-12, 2.7819132112311434e-21, 2.1252910779477115e-29]	10uljR6wkPe1bv3IL_YqNA
Réunion	['Réunion', 'Martinique', 'Guadeloupe', 'Mayotte', 'French Guiana']	[1.0, 5.0501157033977506e-08, 9.503337767789846e-17, 1.3202711344109136e-20, 1.449865664401672e-31]	rFC_jZ5QIwJ32foLJTKC5Q
Réunion	['Réunion', 'Martinique', 'Guadeloupe', 'Mayotte', 'French Guiana']	[0.9995416402816772, 0.00045835485798306763, 8.041671712213927e-13, 2.6531638918440696e-23, 2.5397563177312595e-28]	6QiWi7MZSqvvZiyJyCXU8A
Réunion	['Réunion', 'Mayotte', 'Martinique', 'Guadeloupe', 'Hauts-de-France']	[0.987026035785675, 0.012973901815712452, 9.565180245085791e-12, 3.749896226867833e-12, 1.5378743200775147e-12]	7ettsobvpPhOSw8UqAbOkA
Réunion	['Réunion', 'Guadeloupe', 'Mayotte', 'Martinique', 'French Guiana']	[1.0, 5.850371863390727e-17, 4.686867554707519e-17, 5.751723305055263e-24, 8.88878788512686e-39]	-gBqcZQyEGQTVkOQyRZlpg
Réunion	['Réunion', 'Martinique', 'Mayotte', 'Grand Est', 'Hauts-de-France']	[1.0, 4.111686610696664e-23, 4.8438285383825384e-30, 7.355559132203712e-38, 1.3285178246847147e-39]	VMQSRk7DnkO6uTUk7mOweA
Réunion	['Réunion', 'Martinique', 'Guadeloupe', 'French Guiana', 'Mayotte']	[1.0, 6.905098888509986e-12, 5.0330134335528405e-25, 1.1166035057240577e-28, 7.204056512777119e-29]	_jrNK-3ZBnv2NSt_30evXA
Réunion	['Réunion', 'Martinique', 'Mayotte', 'Guadeloupe', 'French Guiana']	[1.0, 1.890913987889764e-11, 1.962249019345284e-15, 3.7753589421178726e-29, 8.297215708082784e-32]	cLOowunPsG8bJnpl5SF_0A
Réunion	['Réunion', 'Martinique', 'Guadeloupe', 'Mayotte', 'Hauts-de-France']	[1.0, 7.039617640983847e-14, 1.23647118513398e-22, 3.3690289435678006e-26, 1.401298464324817e-45]	oDFiT7OFbFSfqFVRlnbHJw
Réunion	['Mayotte', 'Réunion', 'Martinique', 'Guadeloupe', 'French Guiana']	[0.9999972581863403, 2.7874662009708118e-06, 2.803740854935566e-13, 2.5699156584366344e-27, 1.0011619558269777e-29]	frfw8D2LW6imt5WbGli0QA
Réunion	['Réunion', 'Martinique', 'Guadeloupe', 'Mayotte', 'Hauts-de-France']	[0.9999994039535522, 5.625886387861101e-07, 3.860435863887837e-22, 9.335169794909922e-26, 1.668925878054527e-29]	jv0Vs5ZMsP_y9BGAKuG02A
Réunion	['Hauts-de-France', 'Grand Est', 'Bourgogne-Franche-Comté', 'Ile-de-France', 'Réunion']	[1.0, 8.634835468174229e-13, 6.469801975520113e-15, 1.2782760115857318e-18, 7.687010536062223e-22]	W4DnqEzNtxZh3xnGwceWdQ
Réunion	['Réunion', 'Hauts-de-France', 'Mayotte', 'Martinique', 'Grand Est']	[0.9844523668289185, 0.015287666581571102, 0.00014356708561535925, 0.00011628901120275259, 1.0244422554706034e-07]	0RymVBi8005YvB4y5XDDcQ
Réunion	['Martinique', 'Réunion', 'Guadeloupe', 'New Aquitaine', 'Centre-Loire Valley']	[1.0, 4.356543126249335e-09, 1.3951550147007855e-27, 0.0, 0.0]	g3B2d2AgVevyW7OGfBEzwA
Réunion	['Réunion', 'Martinique', 'Guadeloupe', 'French Guiana', 'Mayotte']	[0.9999887943267822, 1.080768652172992e-05, 3.5023350619667326e-07, 7.986044985031082e-12, 8.44825119481335e-18]	_-O88pJT5caQw-S3ExT16Q
Réunion	['Réunion', 'Martinique', 'Guadeloupe', 'Mayotte', 'Hauts-de-France']	[1.0, 2.5191518315814676e-10, 9.430821159593037e-17, 1.691741775481268e-19, 1.2855198220859863e-38]	WSITKtCeig26m1c91gGaSQ
Réunion	['Réunion', 'Martinique', 'Mayotte', 'Guadeloupe', 'Hauts-de-France']	[1.0, 6.625835947612901e-14, 1.634528916822153e-25, 3.1004862469559853e-27, 3.937648684752736e-43]	0m0q5vpl4OW0OVKcW2bGhg
Réunion	['Réunion', 'Martinique', 'Mayotte', 'Guadeloupe', 'French Guiana']	[0.9999971389770508, 2.8869415018561995e-06, 7.270724022845343e-10, 1.1861605447860413e-12, 1.2013667496199763e-25]	oPBtKGgrFWBFvoxB1H_Q1A
Réunion	['Réunion', 'Martinique', 'Guadeloupe', 'Hauts-de-France', 'Mayotte']	[1.0, 8.6499475865241e-25, 1.2049069121917263e-28, 1.5408427705036547e-33, 6.746568272073404e-39]	AaOxQkccE3eSJ5mfsQIZrg
Réunion	['Réunion', 'Martinique', 'Guadeloupe', 'Mayotte', 'French Guiana']	[0.9999998807907104, 1.7459066725677985e-07, 3.441565671354657e-17, 2.495580058890634e-28, 7.91666370017234e-37]	ijV8cht0_Z8LvPPKAhnxEg
Réunion	['Mayotte', 'Réunion', 'Martinique', 'French Guiana', 'Guadeloupe']	[0.9999971389770508, 2.8486092560342513e-06, 1.7081019080709622e-14, 2.1284184853700516e-31, 1.4090991005121433e-36]	auxv1C012VqcO6Z1N__fWQ
Réunion	['Réunion', 'Guadeloupe', 'Martinique', 'Mayotte', 'Hauts-de-France']	[1.0, 1.0890347270601617e-17, 1.4023839563361819e-21, 3.188648731105422e-34, 4.197315523167694e-36]	Unoo5Avm3-MEnY7VU6XpaA
Réunion	['French Guiana', 'Martinique', 'Mayotte', 'Réunion', 'Grand Est']	[0.9999973773956299, 1.947510099853389e-06, 3.8279759451143036e-07, 3.34330621853951e-07, 7.790300982240709e-17]	EImDcIL9aeq_BsEtpsZZ9A
Réunion	['Réunion', 'Martinique', 'Guadeloupe', 'Mayotte', 'Hauts-de-France']	[1.0, 2.5191518315814676e-10, 9.430821159593037e-17, 1.691741775481268e-19, 1.2855198220859863e-38]	DZ6CDLomsyR86qWnfcy4PA
Réunion	['Hauts-de-France', 'Ile-de-France', 'Martinique', 'Grand Est', 'Réunion']	[1.0, 7.699249630855817e-14, 9.96251883663074e-19, 5.978009988490237e-19, 1.715762712728896e-19]	gbr2Z9jM_FsAPqzlr7_G2w
Réunion	['Réunion', 'Martinique', 'Mayotte', 'Hauts-de-France', 'Ile-de-France']	[1.0, 4.6041412869735066e-12, 1.0021543260497166e-14, 5.522780176974232e-15, 6.066918448281688e-26]	aGSaJ5QFOfKXK4kRL508BA
Réunion	['Mayotte', 'Réunion', 'Martinique', 'French Guiana', 'Guadeloupe']	[1.0, 3.5541031923047584e-11, 3.277286976962598e-29, 7.10612464243758e-41, 2.1776178135607657e-42]	86tj0AZLl21loGFBoq2F9Q
Réunion	['Martinique', 'Réunion', 'Guadeloupe', 'Mayotte', 'French Guiana']	[0.9987934827804565, 0.0012065161718055606, 6.0622782835362266e-12, 3.762695335087793e-24, 2.4438527553595357e-30]	3Dpq-RzpumYcF6SCxclWDQ
Réunion	['Réunion', 'Hauts-de-France', 'Martinique', 'Ile-de-France', 'Grand Est']	[1.0, 6.236883925980763e-11, 1.436127336406604e-22, 3.425497214467615e-23, 2.1441519449528454e-24]	CHT7EBRKRDWUh9Ol0PNlFA
Réunion	['Réunion', 'Mayotte', 'Martinique', 'Grand Est', 'Guadeloupe']	[1.0, 1.030556274548205e-21, 4.374092710563702e-25, 5.328801748195841e-37, 1.2339413887305042e-40]	dXSWUc9KA9Ca81CE82WAzw
Réunion	['Réunion', 'Mayotte', 'Martinique', 'Guadeloupe', 'Hauts-de-France']	[1.0, 2.1284487420578395e-16, 8.085612732728266e-18, 3.388645157984867e-19, 1.6046166030559046e-23]	AG9ZjrrZ_QX9GNXbsff43w
Réunion	['Réunion', 'Martinique', 'Guadeloupe', 'French Guiana', 'Hauts-de-France']	[0.9999998807907104, 1.2064788279531058e-07, 3.0884439428634225e-13, 5.83444049856357e-23, 2.2471815179096883e-23]	9NsN5s_12RkVjkanypPh6w
Réunion	"['Réunion', 'Mayotte', 'Martinique', 'Guadeloupe', ""Provence-Alpes-Côte d'Azur""]"	[1.0, 2.8731484625807956e-15, 6.364288194670899e-26, 2.799677133843661e-35, 0.0]	sEXoOImDyWa_GnD7zol_lg
Réunion	['Réunion', 'Mayotte', 'Martinique', 'Guadeloupe', 'Hauts-de-France']	[1.0, 7.22759968662536e-19, 8.659106790170523e-22, 1.4512139435198392e-26, 4.28797330083394e-43]	g0A__zShQN8J7oxJkQqGxw
Réunion	['Réunion', 'Martinique', 'Mayotte', 'Guadeloupe', 'Hauts-de-France']	[1.0, 2.754689809592037e-09, 3.633477281013186e-18, 3.2244025020018107e-19, 1.5376028099928118e-24]	VYb58Vd8UK3zz2yUyecXgA
Réunion	['Réunion', 'Martinique', 'Guadeloupe', 'Mayotte', 'Centre-Loire Valley']	[1.0, 3.2338840113055858e-21, 1.127913776668884e-21, 2.4008234204693797e-24, 0.0]	vxi5i4upIMyB0sXOSgqDxA
Réunion	['Réunion', 'Martinique', 'Mayotte', 'Guadeloupe', 'Hauts-de-France']	[0.9999985694885254, 1.486525889049517e-06, 5.456948882192746e-16, 5.4041185935482705e-18, 4.456819567618098e-25]	UlK0-23THkHFqJPfWKzyqA
Réunion	['Martinique', 'Réunion', 'Guadeloupe', 'Hauts-de-France', 'French Guiana']	[0.9999998807907104, 1.1221965223739971e-07, 4.568650077934992e-16, 2.4582251051163158e-17, 1.3910033566682587e-21]	lH0KJIuGbO2dp708GPYWYg
Réunion	['Réunion', 'Martinique', 'Guadeloupe', 'Mayotte', 'French Guiana']	[0.999995231628418, 4.762804110214347e-06, 7.947296359254035e-25, 6.32139061293111e-31, 8.407790785948902e-45]	-wwoA4bS4HEDDKdTvqgNpg
Réunion	['Réunion', 'Martinique', 'Hauts-de-France', 'Guadeloupe', 'Grand Est']	[0.9999620914459229, 3.796520468313247e-05, 4.396905745312346e-13, 1.4376963974795792e-13, 2.5413360109881322e-15]	BIV3aQVXwDWd3wAbg37oBg
Réunion	['Réunion', 'Grand Est', 'Hauts-de-France', 'Mayotte', 'Martinique']	[0.999839186668396, 0.00016067565593402833, 9.145619372930014e-08, 3.109993274193201e-14, 7.060114741135037e-19]	7_8UjNV19j_sgm3IunU8Xw
Réunion	['Réunion', 'Martinique', 'Guadeloupe', 'Mayotte', 'Centre-Loire Valley']	[1.0, 4.8128285357051936e-08, 1.2188434261872771e-08, 7.570500121807767e-27, 0.0]	_NcG6xp8FuE9nJo57MBDLw
Réunion	['Martinique', 'Guadeloupe', 'Réunion', 'French Guiana', 'Hauts-de-France']	[1.0, 1.6370598995320285e-13, 1.3449281684503978e-23, 1.1839637876199621e-32, 1.594808063110975e-33]	wfAASO8SqwB-A9y8Y8GiSg
Réunion	['Réunion', 'Martinique', 'Guadeloupe', 'New Aquitaine', 'Centre-Loire Valley']	[1.0, 7.259036556558467e-21, 3.715644318041565e-25, 0.0, 0.0]	_flsFVHfq1VNK2sReSzawg
Réunion	['Réunion', 'Martinique', 'Mayotte', 'Guadeloupe', 'Centre-Loire Valley']	[1.0, 1.083163585062627e-25, 7.855671524175925e-33, 5.430621495912147e-39, 0.0]	k7PjxUD91dFvAz9t5qbsnA
Réunion	['Réunion', 'Martinique', 'Guadeloupe', 'Mayotte', 'French Guiana']	[0.9916837215423584, 0.0083162821829319, 9.890234187182045e-10, 2.3026989372163405e-17, 7.30535837778974e-31]	b9nYzcaMEj-8G2Bi22z7vA
Réunion	['Réunion', 'Martinique', 'Guadeloupe', 'Mayotte', 'Hauts-de-France']	[1.0, 1.1476552799925084e-17, 2.679774694532071e-23, 8.079467746733921e-28, 2.4053762079454818e-34]	J0d2qi0-lb6EHxy12B0T9A
Réunion	['Réunion', 'Mayotte', 'Guadeloupe', 'Hauts-de-France', 'Martinique']	[1.0, 1.0241121331949573e-16, 4.4945569958395554e-18, 1.1578256930985164e-18, 4.6843863750239106e-23]	WzNLihQqwt_rOKw47dajVw
Réunion	['Réunion', 'Martinique', 'Guadeloupe', 'New Aquitaine', 'Centre-Loire Valley']	[1.0, 7.210785127228754e-16, 1.2842872713458518e-34, 0.0, 0.0]	wqPmTfUAlXepsEg1SnxS0Q
Réunion	['Réunion', 'Martinique', 'Mayotte', 'Guadeloupe', 'Hauts-de-France']	[0.9999958276748657, 4.15039266954409e-06, 3.0236063219141185e-12, 1.2328945371213623e-24, 1.6571906151429235e-28]	ZoKohIDT-u0gRki2wP17nw
Réunion	['Réunion', 'Martinique', 'Guadeloupe', 'French Guiana', 'Mayotte']	[1.0, 2.522415836045313e-14, 8.061733783806003e-28, 1.1540379054999344e-33, 7.562593415538074e-34]	w35j6SywyF1Raci2vWKe5w
Réunion	['Réunion', 'Mayotte', 'Martinique', 'Hauts-de-France', 'Guadeloupe']	[0.992305338382721, 0.007692132610827684, 2.4886214760044822e-06, 3.3540445087965054e-08, 1.023421205772904e-16]	A3_0GH_usVQQo-stKglpZg
New Aquitaine	['Grand Est', 'Bourgogne-Franche-Comté', 'Hauts-de-France', 'Pays de la Loire', 'Brittany']	[0.9846242666244507, 0.01433810219168663, 0.0010375715792179108, 7.769097171150818e-11, 3.0796011574185655e-11]	lzK3iXnT-3SBVXQNf77tUQ
New Aquitaine	['Hauts-de-France', 'New Aquitaine', 'Grand Est', 'Ile-de-France', 'Bourgogne-Franche-Comté']	[1.0, 1.5955734997130655e-12, 8.217848602130873e-14, 4.688696245901082e-15, 1.779035538928449e-25]	-GYFqiaMwJwb9tpBBWz3sw
New Aquitaine	['New Aquitaine', 'Hauts-de-France', 'Ile-de-France', 'Grand Est', 'Normandy']	[0.9999980926513672, 1.9619474187493324e-06, 1.0755862592251521e-16, 4.675476530625173e-20, 6.0189391884690475e-25]	mB6PHnrvkHxcBE98CYyQ5A
New Aquitaine	"['Grand Est', 'Hauts-de-France', 'New Aquitaine', 'Ile-de-France', ""Provence-Alpes-Côte d'Azur""]"	[0.8355045914649963, 0.1642296463251114, 0.00026568843168206513, 1.416985535593958e-16, 2.9976313657058596e-23]	6Q4PjfmE_io-8Wh7VXhLNA
New Aquitaine	['Hauts-de-France', 'Auvergne-Rhône-Alpes', 'Martinique', 'New Aquitaine', 'Grand Est']	[0.9999727010726929, 2.7255624445388094e-05, 1.099703748203007e-11, 2.6058321489106848e-14, 2.273124891712542e-14]	Tx44fpemjKej0olwJfntkQ
New Aquitaine	['Hauts-de-France', 'Ile-de-France', 'New Aquitaine', 'Bourgogne-Franche-Comté', 'Grand Est']	[1.0, 1.1835399466082226e-16, 7.808436089990322e-18, 1.6941643290014945e-18, 1.1539454922426067e-18]	j1TWZzRgqF6LsYlGsESS5g
New Aquitaine	['Grand Est', 'Hauts-de-France', 'Centre-Loire Valley', 'Ile-de-France', 'New Aquitaine']	[0.9987597465515137, 0.0012402985012158751, 3.4378333497127563e-18, 4.67539058138965e-20, 2.8308575244266165e-22]	sewvc29Vb9D8tPIi6TJQJw
New Aquitaine	['Hauts-de-France', 'New Aquitaine', 'Auvergne-Rhône-Alpes', 'Bourgogne-Franche-Comté', 'Grand Est']	[0.9989101886749268, 0.0010898244800046086, 1.7508415828260127e-09, 2.4311897980910935e-11, 1.3013662413310922e-12]	8TgxvGDYBo9hSALLcFAAyA
New Aquitaine	['Hauts-de-France', 'Ile-de-France', 'Grand Est', 'New Aquitaine', 'Normandy']	[0.9999821186065674, 1.791962858987972e-05, 8.156710983725501e-13, 1.2729936568734835e-17, 8.00900658128676e-24]	WceL0IHGadUfnFihJeC1zA
