Gold	Predictions	Probabilities
Belgium	['western europe', 'northern europe', 'europe', 'north africa', 'africa']	[0.9999736547470093, 2.638324258441571e-05, 1.623385399631555e-13, 2.4406493495825527e-33, 1.4522774674872274e-34]	AnagMcWzT9CMAgiyZP5KMg
Belgium	['western europe', 'northern europe', 'europe', 'north africa', 'africa']	[1.0, 4.878799142460366e-09, 5.820295493600238e-18, 4.684923895484709e-30, 6.329860020341426e-33]	7xIxR6Po12-dg14sUqexVA
Belgium	['baltic', 'western europe', 'northern europe', 'europe', 'eastern europe']	[1.0, 7.496279152974239e-10, 6.732758794925076e-10, 1.6511641839499387e-14, 1.7226712559285625e-16]	18bMrs3IcBmWIxLQ7w1Odu
Belgium	['western europe', 'europe', 'northern europe', 'southern europe', 'eastern europe']	[1.0, 9.503439701852301e-11, 5.752093182212199e-25, 5.694730596194055e-35, 2.348575805818854e-38]	3XcDbaWXczT1KBL7Bzo85g
Belgium	['western europe', 'northern europe', 'europe', 'baltic', 'eastern europe']	[0.9997984766960144, 0.00020155496895313263, 2.8272484247954428e-14, 4.570285070726055e-19, 3.501175129291399e-29]	Y_XQ---1TcNzvu1rUlS7OA
Belgium	['western europe', 'northern europe', 'europe', 'eastern europe', 'southern europe']	[1.0, 1.938284865943274e-09, 6.054041989944636e-11, 5.534490473664671e-28, 1.1507520943363493e-29]	XpHO9zoJa9cs1DcBFXMNfg
Belgium	['western europe', 'northern europe', 'baltic', 'europe', 'southern europe']	[0.9999847412109375, 1.522773800388677e-05, 7.556186037115109e-13, 1.388033552410112e-16, 5.614174079070905e-18]	4FVUnW9X2PPPyC5lnANZgQ
Belgium	['western europe', 'europe', 'eastern europe', 'northern europe', 'balkan']	[1.0, 5.310811165837315e-11, 5.2208216916316275e-11, 1.7063761428154356e-12, 1.672821291751926e-14]	YX0tb7pg4aXDizBG3Pgi6j
Belgium	['western europe', 'europe', 'northern europe', 'eastern europe', 'west africa']	[1.0, 5.34348815195429e-11, 3.3366872429657114e-16, 6.172388593053364e-33, 1.01214508443813e-33]	mpnQ4Rh_rHRmXsosSGVDkw
Belgium	['western europe', 'northern europe', 'europe', 'baltic', 'eastern europe']	[0.9999780654907227, 2.166001286241226e-05, 2.0911258502565033e-07, 6.188962758182339e-20, 1.8142815311931597e-21]	wtDrCfnh2JKDPraBG0UZqw
Belgium	['western europe', 'northern europe', 'europe', 'west africa', 'north africa']	[0.9999997615814209, 1.8425258474508155e-07, 3.726295801868146e-14, 4.890231905218378e-34, 5.927567658533215e-36]	clgcmPhf58yl9v-aabVh4b
Belgium	['western europe', 'europe', 'northern europe', 'africa', 'central africa']	[1.0, 1.7128401127997073e-11, 7.394989134934526e-12, 3.580459365333722e-35, 9.151846998074643e-36]	lDw5YO-MV6ifyWlYX34Fzw
Belgium	['western europe', 'northern europe', 'europe', 'southern europe', 'africa']	[0.9805707335472107, 0.019429229199886322, 4.264632744166441e-11, 4.599434279406545e-25, 3.732344072048508e-33]	EahNc2HzdOTP1vYdSU8UdB
Belgium	['western europe', 'northern europe', 'europe', 'north africa', 'middle east']	[0.9797205328941345, 0.02027953416109085, 1.7266885892017886e-13, 4.098610846691455e-32, 3.852207199141504e-35]	UzPJBzWmdwCyQInfTWUpBQ
Belgium	['western europe', 'europe', 'asia', 'northern europe', 'eastern europe']	[0.9998757839202881, 0.00012423330917954445, 3.290814842848988e-11, 4.430453399983936e-12, 1.0134050581122808e-13]	lq2RZwXuQQzmogp8AbQU3g
Belgium	['western europe', 'europe', 'northern europe', 'eastern europe', 'southern europe']	[1.0, 5.668798704443743e-16, 1.8637444195858376e-18, 1.2221354275951181e-30, 1.1200690574970474e-33]	7adNaz2pv2WmGGv0igDT6Q
Belgium	['western europe', 'europe', 'northern europe', 'southern europe', 'eastern europe']	[1.0, 2.1208064637789903e-08, 1.0636309270405792e-13, 5.2909658940355694e-14, 2.1357873084579086e-14]	9agO5R13juaotYHPXGYnAg
Belgium	['western europe', 'northern europe', 'europe', 'baltic', 'africa']	[0.9825307726860046, 0.017469177022576332, 5.28927216695424e-14, 1.009463767130225e-29, 1.7816155131272414e-34]	UEkOXNMqhJe7PLEGEXDVmQ
Belgium	['western europe', 'northern europe', 'europe', 'oceania', 'greenland']	[0.722514808177948, 0.2774852216243744, 1.237338021349262e-14, 7.508443729120905e-22, 3.9844465021281354e-24]	0M6OzPYTPy44KqC90i9Uyw
Belgium	['western europe', 'northern europe', 'europe', 'eastern europe', 'north africa']	[1.0, 1.0842969855318074e-09, 2.349198309839484e-12, 9.968453642466056e-33, 4.967309343873354e-38]	Xzz1C6ybKhTDV6N8NJ3Y0Q
Belgium	['western europe', 'northern europe', 'europe', 'north africa', 'southern europe']	[1.0, 4.864840197349452e-10, 5.648747528758102e-15, 4.6202564390892596e-35, 3.5226605344639387e-37]	4P-pjmWwwycyRdDN5AZowA
Belgium	['western europe', 'europe', 'northern europe', 'southern europe', 'north africa']	[1.0, 1.2679247198877936e-14, 1.2217391472959215e-15, 3.0301204609275742e-34, 1.3682110498267303e-36]	vYM3JQaYMMFlSPop4hu7wg
Belgium	['western europe', 'northern europe', 'europe', 'eastern europe', 'baltic']	[1.0, 4.650601084787986e-12, 2.1410148993468306e-15, 2.2995882668252253e-36, 8.787136293226274e-40]	x-tUfDgMiZ-jkWCxynJBgQ
Belgium	['western europe', 'northern europe', 'europe', 'north africa', 'greenland']	[1.0, 8.471098822404599e-10, 5.376747292296265e-14, 1.5424106994535045e-36, 2.488145553255145e-41]	VD-bvLmde24bux5WmWqAmg
Belgium	['western europe', 'europe', 'northern europe', 'eastern europe', 'baltic']	[0.9999890327453613, 1.100975805456983e-05, 1.1575541669265428e-15, 2.86803398298035e-24, 1.1076680019028055e-38]	wAP62WDK22DAxY5rhQcr8w
Belgium	['western europe', 'northern europe', 'europe', 'baltic', 'eastern europe']	[1.0, 3.806111870119366e-09, 1.9144551852964603e-15, 1.6429764670202471e-15, 2.47018869480033e-27]	7YBsRexuk6KoGit7mo2xrg
Belgium	['western europe', 'europe', 'northern europe', 'southern europe', 'eastern europe']	[1.0, 1.2258311553325907e-11, 1.6585141887689544e-19, 5.887776615135326e-34, 8.465135058017634e-37]	cxBVkMR-DJorjuxuYwxFWQ
Belgium	['western europe', 'europe', 'northern europe', 'eastern europe', 'balkan']	[1.0, 1.970403617286738e-14, 8.583659939786787e-15, 4.804765728868555e-27, 4.4926154309229696e-35]	XpndlObowjhME7jx5MYTuy
Belgium	['western europe', 'europe', 'northern europe', 'southern europe', 'eastern europe']	[0.9999998807907104, 1.0456190580043767e-07, 7.167362154732698e-26, 7.571030631349696e-39, 3.0697404678885173e-40]	YzgVK5YOik5fII5OzUp4qw
Belgium	['northern europe', 'western europe', 'baltic', 'europe', 'eastern europe']	[0.7808087468147278, 0.21919120848178864, 1.3297000167611372e-09, 3.610932370847657e-15, 2.2881586226326718e-30]	ltePUtAQv2efAUCC4rrYaw
Belgium	['northern europe', 'western europe', 'europe', 'baltic', 'southern europe']	[1.0, 1.0602430045025812e-08, 3.233742498151119e-17, 9.555322261370124e-24, 4.348434347101488e-27]	k6tg2yFyNDQY4bCbESu3Ho
Belgium	['western europe', 'europe', 'northern europe', 'eastern europe', 'north america']	[1.0, 1.8644977922699368e-11, 6.639643516389388e-16, 2.1114447782266266e-36, 3.3795633544553413e-38]	2SBch2xiwc8TB9aGOmq-_g
Belgium	['western europe', 'baltic', 'northern europe', 'europe', 'eastern europe']	[0.9988522529602051, 0.0011476852232590318, 1.2320961140233067e-08, 3.744921039938731e-14, 3.378530670560074e-16]	kBIjOIVu5WAMayjFQK8A4w
Belgium	['baltic', 'northern europe', 'western europe', 'europe', 'eastern europe']	[1.0, 1.2694860802040136e-17, 1.5943988701903437e-20, 1.903030692815254e-23, 1.6183919288411455e-24]	fsI6RNttAfQDCslpy0Wsbg
Belgium	['western europe', 'northern europe', 'europe', 'greenland', 'baltic']	[0.9311324954032898, 0.06886748224496841, 1.0256519938911524e-10, 4.0654957698949e-13, 5.5236030694824894e-15]	vKt7yt83ALZFrH9ISda7lg
Belgium	['baltic', 'southern africa', 'western europe', 'west africa', 'africa']	[0.8232795596122742, 0.17672044038772583, 7.561290482627214e-10, 4.850648962356763e-13, 1.2267355913638672e-13]	95sH_A7QvS6g_f_Kzr3ABA
Belgium	['western europe', 'northern europe', 'europe', 'west africa', 'central africa']	[0.9999995231628418, 4.4359342155075865e-07, 4.2998024303401994e-13, 6.1692501166119795e-27, 5.973990094386268e-28]	Z71NCyJ6jGslBxi_AesolH
Belgium	['northern europe', 'western europe', 'europe', 'baltic', 'greenland']	[0.9999977350234985, 2.2445829017669894e-06, 4.986816691467284e-15, 4.661196666141426e-18, 6.903414930284763e-22]	5f2LeCo6kRH4A4cdtVup7g
Belgium	['western europe', 'europe', 'northern europe', 'eastern europe', 'west africa']	[0.9998971223831177, 0.00010286329052178189, 5.0358089262535594e-21, 1.218149367393782e-33, 5.176396527215874e-42]	JRJtgNuFjVEq0AzdCi85bw
Belgium	['western europe', 'northern europe', 'europe', 'central africa', 'west africa']	[0.9999980926513672, 1.9603915006882744e-06, 6.455568095061273e-14, 8.638203556057166e-30, 3.8477252049448894e-31]	YqB0Z26xZwe8FmDaGZ3SjD
Belgium	['western europe', 'northern europe', 'europe', 'north africa', 'southern europe']	[1.0, 6.94581991922405e-09, 3.535878422517789e-16, 1.5032869844281659e-37, 4.0826830758103545e-41]	9xRIcs-0f639eVdbfB5j7w
Belgium	['western europe', 'northern europe', 'europe', 'eastern europe', 'baltic']	[0.9997490048408508, 0.00025098762125708163, 1.455986320617335e-15, 9.92186575068258e-40, 4.7223758247746335e-43]	kYjTAFIldjf8M0xHcvdd5A
Belgium	['western europe', 'northern europe', 'europe', 'eastern europe', 'baltic']	[0.9951142072677612, 0.004885781556367874, 5.0615085039895646e-11, 2.2491526347928027e-25, 2.749848013125544e-26]	yGBqHWMUZ4Ms2uUl3tMXxA
Belgium	['western europe', 'europe', 'eastern europe', 'northern europe', 'caribbean']	[0.9983110427856445, 0.0016889497637748718, 5.664669284635185e-30, 1.3311505209590916e-32, 9.436596011772105e-35]	TaQ8FvvTFkrtdiR6MKPF_A
Belgium	['western europe', 'europe', 'northern europe', 'eastern europe', 'central africa']	[1.0, 4.584792181322461e-12, 9.193850292272723e-18, 6.825266266411083e-30, 1.635614578081603e-32]	Wn52njQUEoabuCj1-zMX-A
Belgium	['northern europe', 'western europe', 'europe', 'baltic', 'north america']	[0.9973629117012024, 0.0026370459236204624, 5.347334987998442e-12, 4.3678464165843034e-13, 1.14185672277471e-22]	1MG3IDNlD3tRJLT1ObM68w
Belgium	['western europe', 'europe', 'northern europe', 'eastern europe', 'southern europe']	[1.0, 3.386764291235522e-08, 1.883349303206865e-17, 1.2460547722815843e-22, 1.5094059783803945e-38]	bcPGij-EowEm-NArm5Wwpw
Belgium	['western europe', 'northern europe', 'europe', 'north africa', 'eastern europe']	[0.9999996423721313, 3.626364843967167e-07, 2.9840074855513876e-11, 8.716364902590234e-31, 8.082503553994072e-31]	4SnF_PJ-VxdoJ_OC6eSUoQ
Belgium	['baltic', 'western europe', 'northern europe', 'europe', 'africa']	[0.9999994039535522, 5.999517611599003e-07, 3.973446993654761e-08, 9.869748518898797e-14, 4.22664012307126e-19]	4YJmfDi3wSpJ8vmzXtUrKw
Belgium	['western europe', 'northern europe', 'europe', 'southern europe', 'baltic']	[0.9999979734420776, 2.0794509509869386e-06, 4.761426808386204e-10, 1.0342438521813149e-22, 3.9837294275652895e-24]	EeldreZ9NGGY5atwSE14vw
Belgium	['western europe', 'northern europe', 'europe', 'asia', 'southern europe']	[0.8052687644958496, 0.1947312355041504, 2.1760318547059398e-10, 1.2991634884881175e-27, 9.23217930927908e-29]	go59eBlGn4VKbtAuAdwktZ
Belgium	['western europe', 'northern europe', 'europe', 'baltic', 'africa']	[0.9886709451675415, 0.011329018510878086, 1.951889340532243e-14, 8.132124085768271e-30, 2.7327732874153225e-33]	1wl0T5OPtwdSGZFlsSPchg
Belgium	['western europe', 'europe', 'northern europe', 'west africa', 'southern europe']	[1.0, 9.733856082272396e-11, 1.3894475336365456e-24, 8.7696075740503e-36, 2.9158778965056524e-40]	175B3v255I0JgsevukycSw
Belgium	['western europe', 'northern europe', 'baltic', 'europe', 'eastern europe']	[0.9976857900619507, 0.002314196899533272, 2.345900730615913e-11, 6.054630321411514e-12, 8.921505503649409e-28]	8azFCAErp9W0X3WN3BzP_g
Belgium	['western europe', 'europe', 'northern europe', 'eastern europe', 'southern europe']	[1.0, 2.1489657275886032e-10, 1.190575634705869e-18, 1.698775070641861e-37, 1.064986832886861e-43]	UTPVKDc7jpTdxHZaMege0A
Belgium	['western europe', 'europe', 'northern europe', 'southern europe', 'north africa']	[1.0, 4.5671964474247595e-12, 3.565230708178551e-15, 2.5446523533096577e-38, 3.0272250724809023e-40]	WIafUoe5FJ9IDswvWOVVEg
Belgium	['northern europe', 'western europe', 'europe', 'greenland', 'southern europe']	[0.9918915033340454, 0.008108492940664291, 4.484951364285006e-15, 1.0116819249702266e-31, 1.4222414057306842e-35]	Av2fwjhNv7eeKhCdR4BA0w
Belgium	['northern europe', 'western europe', 'europe', 'southern europe', 'asia']	[0.9988865256309509, 0.00111343152821064, 6.223370868527157e-15, 2.207707290554776e-21, 1.5423205729149634e-23]	Acx3sqk-bjV2u7C4ug6JgJ
Belgium	['western europe', 'northern europe', 'europe', 'southern europe', 'north africa']	[1.0, 3.7728560510139064e-13, 5.4078670286685036e-15, 8.875465770760046e-33, 3.102897566156638e-36]	2BGlGDyES88qU7wcDWlPIk
Belgium	['northern europe', 'western europe', 'europe', 'asia', 'southern europe']	[0.8110688924789429, 0.1889311671257019, 1.0520479886561018e-12, 3.2398732342023628e-24, 4.086011369925161e-27]	URYSKZfi2jYBvuy83gb2zo
Belgium	['northern europe', 'western europe', 'europe', 'eastern europe', 'baltic']	[0.7310705780982971, 0.26892945170402527, 5.589421703255937e-10, 2.3098403745258622e-10, 1.9451783408427946e-16]	fhJhTdN1GkObEcSdE2NOXQ
Belgium	['western europe', 'northern europe', 'europe', 'eastern europe', 'north america']	[1.0, 1.3119537400907433e-10, 6.851363226756391e-12, 1.6723483533668332e-30, 7.50837187319788e-36]	VSMuc72Au0z5GCfIUj0K-g
Belgium	['western europe', 'northern europe', 'europe', 'middle east', 'north africa']	[0.9787171483039856, 0.021282901987433434, 2.9876798192558784e-13, 2.3992332371218256e-26, 1.100327996579951e-26]	1XVb-4ukPx3brdREXFSmjA
Belgium	['western europe', 'europe', 'northern europe', 'eastern europe', 'baltic']	[1.0, 5.226948837947984e-15, 1.6229930539703868e-15, 1.2780963033413792e-40, 1.9702256408406928e-41]	rdmE5whWuLcPsjyEgJ2kMQ
Belgium	['northern europe', 'western europe', 'europe', 'north africa', 'greenland']	[1.0, 8.69344818354989e-10, 1.558816660240789e-24, 1.2645513523852155e-39, 1.0359799546753373e-41]	EmR4yk4s3FfTtGCjgbMfag
Belgium	['western europe', 'northern europe', 'europe', 'eastern europe', 'southern europe']	[1.0, 5.181440276835758e-10, 1.9389611444209365e-13, 2.0668039883724116e-34, 1.1074139464912235e-39]	UwMDl2fXDluhfz694NwkTQ
Belgium	['western europe', 'europe', 'northern europe', 'baltic', 'eastern europe']	[0.9999990463256836, 9.225547046298743e-07, 1.2464522747279716e-08, 7.272315388773265e-11, 2.177945873336808e-19]	lRLl4SpSeNlXLU6EexwTig
Belgium	['western europe', 'north africa', 'europe', 'northern europe', 'baltic']	[0.9999997615814209, 2.684215871795459e-07, 1.534062876729081e-10, 2.1342670686319565e-11, 2.1674942927724788e-13]	hoEN1OeHF2jrB4VhSvi-Bw
Belgium	['western europe', 'northern europe', 'europe', 'eastern europe', 'north africa']	[1.0, 1.052227315695431e-11, 5.884134867718827e-13, 1.3401336487880755e-32, 9.291743309710255e-37]	YD6K1mldw3xleEPGf594Cw
Belgium	['western europe', 'northern europe', 'europe', 'africa', 'west africa']	[0.9999932050704956, 6.755881258868612e-06, 4.20589805222361e-19, 2.604601137636743e-31, 1.0642714263361843e-31]	2q6-4PKWC-gKdvv18bdOzd
Belgium	['western europe', 'northern europe', 'europe', 'africa', 'asia']	[0.9242273569107056, 0.07577264308929443, 6.695163137950119e-15, 2.0600932335787888e-29, 3.383908565169752e-30]	lWinMo-X2pP-clhEW__BGV
Belgium	['northern europe', 'western europe', 'europe', 'oceania', 'caribbean']	[0.9995111227035522, 0.0004888700786978006, 1.0417148046948377e-11, 2.3417864823836596e-21, 3.752239741095558e-22]	-qX7OXeuKwdAHTqYZa1Siw
Belgium	['western europe', 'europe', 'northern europe', 'west africa', 'southern europe']	[1.0, 2.3113433389454485e-09, 1.5101044401788235e-21, 1.831274098739249e-28, 5.2954988273567236e-33]	YrQL1xUMmYdjfT8UBHO7Kw
Belgium	['western europe', 'northern europe', 'europe', 'eastern europe', 'southern europe']	[0.8472464084625244, 0.15275362133979797, 5.301784358757722e-11, 2.0395765201661315e-22, 1.3831500570301663e-23]	dHwk5E-6TH6qjzl_5CA4AQ
Belgium	['western europe', 'northern europe', 'europe', 'caribbean', 'eastern europe']	[0.9999967813491821, 3.2553975870541763e-06, 1.4994210319520127e-16, 1.7491703404714106e-19, 1.5695487656111518e-28]	vrwXXflKvqzmUzB0NFZ7OQ
Belgium	['western europe', 'northern europe', 'europe', 'baltic', 'africa']	[0.9999998807907104, 7.57302771603463e-08, 9.224269265084573e-11, 2.2041380480178173e-30, 3.852638352895085e-38]	jrJt7qYKL0pJV487VUuruA
Belgium	['western europe', 'europe', 'northern europe', 'eastern europe', 'asia']	[1.0, 4.0580594440342566e-12, 1.0023023028967104e-31, 6.196756223603926e-34, 5.647232811229013e-43]	zSYcMnbzPxAyECwQDQNVYA
Belgium	['western europe', 'northern europe', 'europe', 'north africa', 'eastern europe']	[1.0, 4.854722845948345e-08, 2.9525756839454687e-11, 6.044736909010646e-35, 5.065882283047819e-37]	DztkTTBD-B4KmkkgmrKSCg
Belgium	['western europe', 'northern europe', 'europe', 'baltic', 'north africa']	[0.9985557198524475, 0.0014442397514358163, 7.016590542092971e-14, 3.6679079533086428e-31, 6.877973107827192e-34]	aoX0qAcYdE4mphZMcce3tB
Belgium	['western europe', 'northern europe', 'europe', 'baltic', 'africa']	[0.6691438555717468, 0.33085620403289795, 2.4500323644871536e-11, 1.38454013336696e-13, 2.331626846431164e-28]	wwjqZWOBcegP0m1nKf09A_
Belgium	['western europe', 'northern europe', 'baltic', 'oceania', 'europe']	[0.8234792947769165, 0.1765207201242447, 1.500525748099335e-08, 2.5399784497892597e-09, 1.5916780697275423e-12]	YLs80XHeFyvq9mkTYnTxDQ
Belgium	['northern europe', 'western europe', 'baltic', 'europe', 'oceania']	[0.9999703168869019, 2.9697797799599357e-05, 6.349968106889037e-09, 2.2684446022289377e-19, 1.9211029559148016e-34]	n9VrVDkp-ozjB1WsQdYnNA
Belgium	['western europe', 'northern europe', 'europe', 'southern europe', 'north africa']	[1.0, 1.6105712319358645e-08, 1.271838774433761e-14, 8.65795013938466e-37, 1.5781843694765387e-39]	4_AcKhCV4QGwF6fl2hqmnQ
Belgium	['western europe', 'europe', 'northern europe', 'north africa', 'africa']	[1.0, 6.376067208935243e-13, 2.810761942887497e-21, 4.711319579891111e-40, 3.297675676095592e-41]	yJVpeEDQJ5yLq8NgguyeXQ
Belgium	['western europe', 'europe', 'northern europe', 'west africa', 'africa']	[0.9801494479179382, 0.019850514829158783, 6.168127009130317e-18, 1.783798009309809e-26, 6.89934074822476e-32]	X-eDByZzmPR-0horoNKhbw
Belgium	['western europe', 'northern europe', 'europe', 'baltic', 'balkan']	[1.0, 4.7658134383343764e-11, 1.584891592965043e-11, 1.690130665462441e-17, 1.2061507632162371e-17]	86_US1ZiXHW8yb1Fdbb8gg
Belgium	['western europe', 'northern europe', 'europe', 'africa', 'caribbean']	[1.0, 3.7529770957611674e-12, 4.919396934623989e-14, 2.0265743013367016e-33, 4.0217023781747615e-36]	9tyaK3oVdY4StSWp6vq_qA
Belgium	['western europe', 'northern europe', 'europe', 'eastern europe', 'north africa']	[1.0, 4.666635411432196e-10, 5.096198121704379e-14, 9.412629954887369e-33, 1.0975337287658302e-33]	UTaFmUuOXyugSsu_jL0_tg
France	['europe', 'western europe', 'northern europe', 'asia', 'west africa']	[0.8174196481704712, 0.18258032202720642, 1.0964493202259007e-12, 1.6045950021510535e-20, 4.95853135467164e-21]	D-ok8lH40Ld_awV77v1tYQ
France	['europe', 'western europe', 'southern europe', 'northern europe', 'north africa']	[0.9832979440689087, 0.016702087596058846, 3.477091671164298e-21, 6.255256770731909e-23, 1.4984567217333077e-32]	2Bcht63kqqwe9-8ouV4vhA
France	['europe', 'southern europe', 'western europe', 'balkan', 'eastern europe']	[0.7140578031539917, 0.28593719005584717, 4.988965883967467e-06, 1.6696381777148162e-10, 9.89867712581119e-22]	lv0rt4_Z13I-SMEoUMXzKg
France	['western europe', 'europe', 'west africa', 'northern europe', 'central africa']	[0.9999985694885254, 1.4654906408395618e-06, 3.611935059466555e-29, 1.1003011557369104e-29, 2.80994462930005e-35]	iOq7cJLawcBTc7j1gY_wMA
France	['europe', 'western europe', 'northern europe', 'asia', 'africa']	[0.9975046515464783, 0.002495383843779564, 8.182029745452205e-30, 2.5065244547829294e-35, 7.415492465735905e-36]	BEY2va2Qa01VI4WJdUDy4A
France	['western europe', 'northern europe', 'europe', 'eastern europe', 'baltic']	[0.9427788853645325, 0.05722102150321007, 6.280214392972994e-08, 1.9892595871321556e-13, 1.8809093543368505e-20]	z8Fh6Ktpi2E7g8ClQKM86w
France	['caribbean', 'central america', 'south america', 'latin america', 'oceania']	[1.0, 1.2450634056734855e-12, 1.6931014899638626e-22, 1.6240483219173086e-27, 3.6702605348539203e-37]	z2rrJtQBjprIt7vHWeRxXQ
France	['western europe', 'europe', 'northern europe', 'southern europe', 'asia']	[0.9879679679870605, 0.012031993828713894, 4.999070717115212e-15, 3.914098852717529e-22, 4.403187281254837e-24]	J2_uzycMg6cGVzYsj1WScg
France	['caribbean', 'central america', 'latin america', 'south america', 'oceania']	[0.9999998807907104, 7.617764197220822e-08, 9.363011036213832e-22, 4.1590935622262917e-29, 2.7864373595952447e-32]	rZaexEdGFDuUwckPysojWA
France	['europe', 'western europe', 'southern europe', 'north america', 'northern europe']	[0.711305558681488, 0.2886944115161896, 7.916120077719609e-21, 1.5926817686486349e-22, 5.25918222166242e-24]	4AOj4cQSvFDq00YpsOVw3g
France	['caribbean', 'western europe', 'europe', 'oceania', 'africa']	[0.9999970197677612, 2.8847393878095318e-06, 1.3855544978014223e-07, 1.539754448617349e-14, 1.4356609577196902e-17]	28NfA19lGGVWOP8yJ5jIOg
France	['caribbean', 'central america', 'west africa', 'sub-saharan africa', 'polynesia']	[1.0, 1.1542700410795858e-20, 3.559128674090244e-23, 5.1657501276937225e-25, 1.5030028160219942e-26]	6pNCs4ame5jVIe4JXzw50g
France	['europe', 'western europe', 'northern europe', 'eastern europe', 'balkan']	[0.7194883227348328, 0.28051164746284485, 3.966456674220353e-08, 4.783726764842783e-17, 5.070314737233434e-22]	jyq9Tq3-cUJ9Wvtd40YMgA
France	['western europe', 'europe', 'northern europe', 'west africa', 'caribbean']	[0.9999997615814209, 2.7712820838132757e-07, 4.2747625101161035e-14, 2.394357001095994e-16, 1.1224061896423462e-22]	jN9i2mjseJ580DSrDHAraA
France	['caribbean', 'west africa', 'sub-saharan africa', 'western europe', 'southern europe']	[1.0, 1.1967230705975863e-25, 1.341088961150986e-26, 1.068328670553957e-26, 5.271547591699856e-28]	V2jWb0uPt-_nlzY_SXcj5A
France	['southern europe', 'europe', 'western europe', 'north africa', 'northern europe']	[0.7393487691879272, 0.2603767216205597, 0.00027457092073746026, 1.0135434352089445e-21, 3.6662208333773207e-22]	Hk2nYUNSM7oZ9AEtPYAbfw
France	['balkan', 'southern europe', 'western europe', 'europe', 'eastern europe']	[0.8440608978271484, 0.14864951372146606, 0.006534593179821968, 0.0007481006323359907, 6.873387064842973e-06]	IUqvIZjPmsv_jwPl71Gp_g
France	['southern africa', 'north africa', 'sub-saharan africa', 'southern europe', 'middle east']	[0.9974384307861328, 0.0025614944752305746, 4.6072121812068545e-11, 4.646258412935983e-16, 6.264276498300011e-17]	WiDNShF98ufxUVHeE7XbhA
France	['europe', 'western europe', 'southern europe', 'northern europe', 'asia']	[0.9999967813491821, 3.2324305720976554e-06, 5.965096038645923e-12, 1.73138498794924e-20, 3.4929343398747334e-27]	5vnPcEwj5fCxr_Kn2G-eaA
France	['western europe', 'europe', 'north africa', 'southern europe', 'west africa']	[0.7171480655670166, 0.282851904630661, 1.80310342936911e-14, 1.1294669845295087e-17, 1.0083666585807328e-23]	XNbYdr_buXMI7oRA5E7PIQ
