Gold	Predictions	Probabilities
Washington	['Washington', 'Raleigh', 'Dallas', 'Clovis', 'Nashville']	[1.0, 5.7032847498020055e-43, 0.0, 0.0, 0.0]	4JDzaWsUd2LY4ynH1T_PNQ
Washington	['Washington', 'Baltimore', 'Clovis', 'Nashville', 'Yuma']	[1.0, 5.5434946859150466e-40, 0.0, 0.0, 0.0]	AVqR_gQiJ_Vi5MFLQzpPJg
Washington	['Washington', 'Baltimore', 'New York', 'St. Johns', 'Savannah']	[1.0, 6.6184502323096694e-09, 5.456695951040943e-20, 1.658671611579281e-20, 5.687780729723065e-21]	6wOTRnNxZD0vLs-Z1ngWmw
Washington	['Washington', 'Cambridge', 'Marquette', 'Dallas', 'Davis']	[1.0, 1.5565542626928523e-37, 2.802596928649634e-44, 0.0, 0.0]	V8mOsCa6HXhfwcMTk66iIw
Washington	['Washington', 'Hayward', 'Nashville', 'New York', 'Clovis']	[1.0, 9.80908925027372e-45, 0.0, 0.0, 0.0]	aA2yksHIbDxeS0BT7SnX-w
Washington	['Washington', 'Baltimore', 'Clovis', 'Nashville', 'Yuma']	[1.0, 3.8914512731941356e-33, 0.0, 0.0, 0.0]	ajQjAkc_rz9E07sP-A8QLg
Washington	['Washington', 'Baltimore', 'Cambridge', 'Huntington', 'Marquette']	[1.0, 4.98968759105739e-13, 2.2475858880097046e-22, 1.4713559080587295e-23, 8.556742684496106e-25]	kgzMkjCAcyzYOIWZDhaOhw
Washington	['Washington', 'Nashville', 'Dallas', 'Clovis', 'New York']	[1.0, 0.0, 0.0, 0.0, 0.0]	cbJe-J0ywu1K5WUei83dvA
Washington	['Washington', 'Raleigh', 'Hayward', 'San Jose', 'San Francisco']	[1.0, 7.8405429934994e-13, 1.0227962261577187e-24, 2.4215898941394592e-26, 6.484334085147178e-29]	6mwgIvUXgprKHlAfiXAKiQ
Washington	['Washington', 'Nashville', 'Dallas', 'Clovis', 'New York']	[1.0, 0.0, 0.0, 0.0, 0.0]	ql6tHur157jqqDe_8VC87g
Washington	['Washington', 'Marquette', 'Chicago', 'Baltimore', 'Cambridge']	[1.0, 7.13034076145927e-38, 7.070535024560044e-38, 1.485376372184306e-43, 1.1210387714598537e-44]	VUZrQ_3Od_UW1GPk9cSN1A
Washington	['Washington', 'Nashville', 'Dallas', 'Clovis', 'New York']	[1.0, 0.0, 0.0, 0.0, 0.0]	HOP8Sf81yrRA5Co2i3boSg
Washington	['Washington', 'Cambridge', 'Nashville', 'New York', 'Clovis']	[1.0, 9.879814779217206e-36, 0.0, 0.0, 0.0]	evXWBD9dtwgaKA8dofKOHQ
Washington	['Danbury', 'Johnson City', 'Nashville', 'Durham', 'Washington']	[0.9999991655349731, 7.862903999011905e-07, 9.397106844836328e-14, 6.204119927218435e-15, 2.0842168933104567e-15]	2iz4qj645HW8AY6eErdPAw
Washington	['Washington', 'Nashville', 'Dallas', 'Clovis', 'New York']	[1.0, 0.0, 0.0, 0.0, 0.0]	HYBknptRiqFQzcshLNTYGw
Washington	['Washington', 'Nashville', 'Dallas', 'Clovis', 'New York']	[1.0, 0.0, 0.0, 0.0, 0.0]	EPyvEtie8WYfCsl5uz2pnw
Washington	['Baltimore', 'Charter Township of Clinton', 'Washington', 'St. Johns', 'Nashville']	[1.0, 2.156440714884411e-08, 3.346772228993958e-15, 5.658423838326256e-25, 2.903309500731021e-26]	jQmAl8lbYiTxiFuaB4ECrQ
Washington	['Baltimore', 'Charter Township of Clinton', 'Washington', 'Raleigh', 'Atlanta']	[0.9998949766159058, 0.00010483426012797281, 2.2031676394362876e-07, 6.928330305300268e-12, 7.791523886058308e-17]	f5ts3UNZJ2z5I6N7zQFy3g
Washington	['Nashville', 'Boston', 'Huntington', 'Cambridge', 'St. Johns']	[0.9996236562728882, 0.00036251870915293694, 1.116064413508866e-05, 2.54311521530326e-06, 8.895928971242029e-08]	5wKy0z8drkz4oz4tBCinVg
Washington	['Washington', 'St. Johns', 'Cambridge', 'Clovis', 'Yuma']	[1.0, 8.688050478813866e-44, 1.401298464324817e-45, 0.0, 0.0]	BDa71jjeddvocEAPamqW-g
Washington	['Washington', 'Baltimore', 'Augusta', 'St. Johns', 'Helena']	[1.0, 2.451721819232076e-28, 2.927468763703087e-31, 1.3545200245626904e-31, 2.5328340042969366e-33]	TspFKi_KbecEXuYuv041xA
Washington	['Washington', 'Baltimore', 'Cambridge', 'St. Johns', 'New York']	[1.0, 8.438491448727345e-25, 1.9821366777874537e-41, 4.203895392974451e-45, 0.0]	JRw6n-n8dFqjhzFNkfZxHg
Washington	['Washington', 'Cambridge', 'Boston', 'Portland', 'Seattle']	[1.0, 4.15227964858933e-13, 3.49873920415424e-16, 5.448762615468673e-23, 2.2045317530689143e-24]	iI0Eeu-Gja36xZyU9hDCIA
Washington	['Washington', 'Baltimore', 'Clovis', 'Nashville', 'Yuma']	[1.0, 4.02256737169082e-41, 0.0, 0.0, 0.0]	ce9TWQ51eoJCWjfsIAzFIQ
Washington	['St. Johns', 'Washington', 'Charter Township of Clinton', 'Orange', 'Baltimore']	[0.9998594522476196, 0.00014049350284039974, 8.13053013803966e-10, 1.2825253012382909e-12, 3.976716959203097e-13]	lHhqQkqeCmY8pLXVEYeuNA
Washington	['Washington', 'Hayward', 'Baltimore', 'San Jose', 'Helena']	[1.0, 1.4262071713893954e-30, 1.2093474861000155e-33, 2.770608903422253e-35, 2.360948404695872e-35]	3Dy0qaJSkEJqottxmSDW6Q
Washington	['Baltimore', 'New York', 'Washington', 'Boston', 'Cambridge']	[0.9999998807907104, 6.731069390752964e-08, 2.0189991900565474e-08, 1.8019933989421588e-08, 2.1888464263618073e-15]	9IkazwYidnUQjkvLxUGezA
Washington	['Washington', 'Seattle', 'Portland', 'Bellingham', 'San Francisco']	[0.9999997615814209, 2.665766487552901e-07, 1.1110908637590455e-08, 5.314679896611128e-19, 9.552018373059539e-21]	glTiOZmrG1P2ZOD8M9Zvog
Washington	['Washington', 'Baltimore', 'St. Johns', 'Clovis', 'Yuma']	[1.0, 2.338251421017257e-30, 7.952088525350472e-40, 0.0, 0.0]	4UfkhIuT8wj03qFHkbkYIw
Washington	['Washington', 'Baltimore', 'St. Johns', 'New York', 'Savannah']	[1.0, 4.083470068968872e-17, 1.1466240932148864e-22, 4.790938764125199e-23, 2.290143037652792e-28]	VszSsTx-8L0e0n99Zu7zpw
Washington	['Washington', 'Nashville', 'Dallas', 'Clovis', 'New York']	[1.0, 0.0, 0.0, 0.0, 0.0]	2YSu6xZCxGFM0FcLzH2DqQ
Washington	['Washington', 'Cambridge', 'Baltimore', 'Danbury', 'Huntington']	[1.0, 6.245434169827035e-10, 1.5294962820598389e-22, 1.519091449294702e-25, 5.804838517747055e-26]	0NR1rLdpjo8BKfalJXL8Jw
Washington	['Washington', 'Nashville', 'Dallas', 'Clovis', 'New York']	[1.0, 0.0, 0.0, 0.0, 0.0]	0K2wKSarf1zjQo72QdIo0Q
Washington	['Washington', 'Cambridge', 'Baltimore', 'Raleigh', 'Nashville']	[1.0, 6.334426851179889e-25, 1.6606332958972194e-36, 9.760339477998323e-39, 3.819404317736079e-39]	m2hyg6Xpeo43Hx_4mrpzig
Washington	['Washington', 'Portland', 'Baltimore', 'Seattle', 'San Francisco']	[1.0, 6.027122932631778e-20, 3.886536865531384e-20, 3.19523290666273e-21, 1.5034877273413194e-22]	_hfgzQW5Thva_ifvZLMSpA
Washington	['Washington', 'Baltimore', 'Clovis', 'Nashville', 'Yuma']	[1.0, 2.3366491628913557e-35, 0.0, 0.0, 0.0]	VTTVZ3VzqZ-a3Z5iEWqRbg
Washington	['Washington', 'Baltimore', 'Chicago', 'Cambridge', 'Atlanta']	[1.0, 3.5688465991861514e-17, 8.511973718789166e-26, 1.0073554756942286e-29, 1.1119522043524302e-30]	SrNUAg0bfsd5M1owBwiTmQ
Washington	['Washington', 'Raleigh', 'Augusta', 'Greer', 'Johnson City']	[1.0, 3.2286387452451493e-10, 1.0435894509663868e-10, 1.231868860390728e-11, 1.2804065126952383e-14]	mLepFa2ePbLS6FHp_z3sEg
Washington	['Washington', 'Nashville', 'Baltimore', 'Cambridge', 'Marquette']	[1.0, 4.1043203805355777e-16, 2.3880533885199723e-17, 1.4684607576384645e-18, 1.6714932329291022e-23]	Cazg79FXx7Jf5TqXdc_s5g
Washington	['Washington', 'Cambridge', 'Baltimore', 'Nashville', 'Hayward']	[1.0, 2.8431206963620936e-31, 2.1569695349538993e-36, 3.2271642991886173e-38, 1.1888616171331748e-41]	8MW8WPwZsiS35_PO8kxP2w
Washington	['Washington', 'Seattle', 'Portland', 'Clovis', 'Davis']	[1.0, 3.850224849600875e-33, 6.631440392841405e-39, 0.0, 0.0]	EEDcNuzWmIR3Vq1aimvuyg
Washington	['Washington', 'Nashville', 'Dallas', 'Clovis', 'New York']	[1.0, 0.0, 0.0, 0.0, 0.0]	Y0vdcuOUvDou-SuquZ4sRA
Washington	['Washington', 'Baltimore', 'Clovis', 'Nashville', 'Yuma']	[1.0, 8.091097333011494e-42, 0.0, 0.0, 0.0]	rJ-5qlgNN4djys371phq5w
Washington	['Washington', 'Nashville', 'Dallas', 'Clovis', 'New York']	[1.0, 0.0, 0.0, 0.0, 0.0]	fPeWWgTmAtnQXCye5xvzKg
Washington	['Washington', 'Cambridge', 'Baltimore', 'Nashville', 'Chicago']	[1.0, 1.079687793902818e-22, 5.553948143892815e-28, 8.869044691643397e-31, 2.5427556817131055e-34]	19wGY7jHdV7GQpNRV17i_w
Washington	['Helena', 'Billings', 'Johnson City', 'Kingman', 'Flagstaff']	[1.0, 3.6366341795573964e-13, 1.064312754681801e-13, 5.917107895238999e-14, 2.0512171249601396e-15]	EVOuMqUB4fpAeWwJRAAYwg
Washington	['Washington', 'St. Johns', 'Baltimore', 'Cambridge', 'Yuma']	[1.0, 9.538904567318237e-30, 1.5365074738694252e-30, 4.481582301858914e-39, 0.0]	WHU-6z3VYMlEpnDBCmFuRg
Washington	['Baltimore', 'Charter Township of Clinton', 'Detroit', 'Washington', 'St. Johns']	[0.9961462020874023, 0.003853777889162302, 2.874320586773206e-14, 3.2699441584721394e-20, 2.3245072415612623e-24]	WRhTVgpsf9Knayu6xEtXSw
Washington	['Washington', 'Cambridge', 'Nashville', 'New York', 'Clovis']	[1.0, 3.569906915812192e-33, 0.0, 0.0, 0.0]	4aS76YzMBkesSEySS3W62Q
Washington	['Washington', 'Cambridge', 'Boston', 'Baltimore', 'Raleigh']	[1.0, 1.2141937778017801e-15, 2.1338962009823386e-23, 1.2873182489581582e-27, 8.211318221637971e-32]	StyhMvaFZ1QbLTExdGtamA
Washington	['Washington', 'Baltimore', 'Clovis', 'Nashville', 'Yuma']	[1.0, 2.894952474069511e-31, 0.0, 0.0, 0.0]	YkeWC7VgjZ7PqLJQsVh5dQ
Washington	['Washington', 'Cambridge', 'Baltimore', 'New York', 'Nashville']	[1.0, 3.406577866510288e-37, 1.9174247147049337e-40, 0.0, 0.0]	mEnqpO04omlt3thWWk0LQQ
Washington	['Washington', 'Charter Township of Clinton', 'Helena', 'St. Johns', 'Huntington']	[1.0, 5.255736082797962e-24, 8.766613211873367e-25, 9.010911813459957e-31, 1.9859758121319707e-32]	HKAFI4asEekccl7ScoP4RQ
Washington	['Washington', 'Baltimore', 'Clovis', 'Nashville', 'Yuma']	[1.0, 1.076617610140757e-41, 0.0, 0.0, 0.0]	5ZVnnmYRyYzvMuGHCldf7g
Washington	['Washington', 'Baltimore', 'Raleigh', 'Nashville', 'Charter Township of Clinton']	[0.9999098777770996, 9.01675084605813e-05, 6.291053290287396e-14, 2.7927455541285756e-14, 1.0553012098018407e-16]	xnkX5BW2C8K7Br818P5PUQ
Washington	['Washington', 'Cambridge', 'Hayward', 'St. Johns', 'Baltimore']	[1.0, 5.357593214412957e-33, 2.477916074465574e-40, 8.343471186436393e-41, 6.230172972388137e-42]	VYI87WW8He4t7RsSyNxnGw
Washington	['Cambridge', 'Charter Township of Clinton', 'Huntington', 'Helena', 'Nashville']	[0.7468671798706055, 0.1451673060655594, 0.05296745151281357, 0.050949182361364365, 0.0027539688162505627]	sAXH0HLuA41oB6_RYdSRwA
Washington	['Washington', 'Nashville', 'Dallas', 'Clovis', 'New York']	[1.0, 0.0, 0.0, 0.0, 0.0]	U0SmUi9epnNzMjBdhwkH0w
Washington	['Washington', 'Helena', 'Baltimore', 'Raleigh', 'Huntington']	[1.0, 2.9014089943408377e-31, 1.42723209097502e-35, 2.059908742557481e-43, 1.1630777253895982e-43]	1ZVx2nmgs6jvPxmrNddA3w
Washington	['Washington', 'St. Johns', 'Cambridge', 'Baltimore', 'Clovis']	[1.0, 4.525197011920894e-33, 3.923541626123111e-34, 1.3057864201739183e-34, 0.0]	eD6g4r4I9z6fxqzL_3kSTQ
Washington	['Washington', 'Baltimore', 'Cambridge', 'Raleigh', 'Boston']	[1.0, 5.5133313550410207e-14, 3.8100792369753833e-38, 1.3358728199344164e-38, 4.715758893426092e-39]	oDDnZY9pVNtHNzpIcz2iGA
Washington	['Washington', 'Baltimore', 'St. Johns', 'Cottonwood', 'Cambridge']	[1.0, 3.6051269515252894e-21, 1.5413499228476376e-31, 8.310221597985472e-35, 4.460704356038939e-39]	r439GuQ_jJk-HK1D71BlnQ
Washington	['Washington', 'Baltimore', 'St. Johns', 'Cambridge', 'Johnson City']	[1.0, 1.3649555441921276e-17, 3.145851467090097e-36, 1.6747362999538158e-37, 4.1248621595865315e-41]	bl79usoWXcRDGTcn2P7EcQ
Washington	['Washington', 'Baltimore', 'St. Johns', 'Charter Township of Clinton', 'Orange']	[1.0, 5.257196855979205e-25, 1.0014701798497181e-29, 7.573373440765923e-31, 9.973758186997949e-37]	mjgTv9BD7ciOwbyGQyeG5g
Washington	['Baltimore', 'Washington', 'Raleigh', 'Charter Township of Clinton', 'Cambridge']	[0.999990701675415, 9.289570698456373e-06, 4.8094230820083794e-09, 1.9616127298893726e-12, 1.3959337598877259e-14]	CnhomVqRAwiHREapLIQRoQ
Washington	['Washington', 'Johnson City', 'Bloomington', 'Hayward', 'Diamond Bar']	[0.9999749660491943, 2.5076951715163887e-05, 3.3311671563535095e-12, 1.9592487354724852e-12, 4.4632657458834095e-17]	YwOaYelMCRDTadDyaIXoSQ
Washington	['Washington', 'Cambridge', 'Baltimore', 'Hayward', 'Portland']	[1.0, 6.136201762845862e-36, 1.8316640155456063e-37, 1.1770907100328463e-43, 1.401298464324817e-45]	_40Hb5yO2rtIcviL_dP9rw
Washington	['Washington', 'Nashville', 'Dallas', 'Clovis', 'New York']	[1.0, 0.0, 0.0, 0.0, 0.0]	XGa88sgmbtpRSSIHy46udQ
Raleigh	['Augusta', 'Huntington', 'Raleigh', 'Bloomington', 'Washington']	[0.7397119998931885, 0.1854994148015976, 0.05640345439314842, 0.012019255198538303, 0.006364315748214722]	kl7UOFIwDb0KMvJzeC8L8A
Raleigh	['Atlanta', 'Raleigh', 'Durham', 'Washington', 'Augusta']	[1.0, 2.686398286236669e-22, 1.4575259670602745e-28, 1.1553931792514749e-28, 1.5948462005558195e-31]	2ij-15RjuhPJw0pYec2sNw
Raleigh	['Greenville', 'Knoxville', 'Raleigh', 'Atlanta', 'Nashville']	[0.9799010157585144, 0.020099032670259476, 3.266046277872192e-08, 6.406565278282983e-10, 1.7215169567652566e-10]	WTzZX5RZXubmRu_54LySpw
Raleigh	['Atlanta', 'Raleigh', 'Nashville', 'Knoxville', 'Asheville']	[0.998755931854248, 0.001244046725332737, 7.0853780877394926e-15, 1.8765404900717266e-18, 7.1382109307177e-19]	gCEpMSPqViHz5O_KDeScjg
Raleigh	['Raleigh', 'Augusta', 'Greenville', 'Greer', 'Atlanta']	[1.0, 8.243835836196922e-09, 1.359072359860547e-12, 1.7484590681286012e-15, 2.986061924916734e-16]	W392K3SbBCKMeHeC2cxvTA
Raleigh	['Augusta', 'Charter Township of Clinton', 'Washington', 'Greer', 'Greenville']	[0.999962568283081, 3.735838254215196e-05, 6.101048910522877e-08, 1.683685368902843e-08, 2.8120991646396476e-10]	vdom0WkbasD_wEqyBvCSiw
Raleigh	['Raleigh', 'Greenville', 'Sacramento', 'Jacksonville', 'Durham']	[1.0, 3.126391795220989e-33, 2.4483486768683204e-41, 3.2229864679470793e-44, 2.802596928649634e-45]	0V_I1F5MqFtESDfdfZHAmw
Raleigh	['Raleigh', 'Atlanta', 'Augusta', 'Greenville', 'Greer']	[0.9999701976776123, 2.9852268198737875e-05, 2.638108620445223e-09, 2.3096354422226387e-16, 3.142702389887831e-19]	U5Oo-q3FbLVPOs5jZ7zJsg
Raleigh	['Nashville', 'Raleigh', 'Knoxville', 'Greenville', 'Asheville']	[0.908855676651001, 0.09114418923854828, 1.4066222320252564e-07, 2.3978855012707356e-10, 9.038388942245548e-16]	n2xdBavGayAJlQp5gseoNA
Raleigh	['Raleigh', 'Augusta', 'Greenville', 'Durham', 'Greer']	[1.0, 1.2348791148903052e-20, 7.579134450983748e-21, 1.9753929036511774e-22, 6.293748449741263e-24]	TPV3N3q1E2ktqwb71R4MWA
Raleigh	['Atlanta', 'Raleigh', 'Washington', 'Baltimore', 'Asheville']	[1.0, 3.771163608993921e-25, 3.6364188106388153e-32, 1.856305501518739e-36, 3.1082728125411354e-38]	I5Nfv5MHO-g25twqQYKn2A
Raleigh	['Raleigh', 'Augusta', 'Greer', 'Greenville', 'Atlanta']	[0.9995137453079224, 0.0004835888394154608, 2.639937974890927e-06, 2.7792674828219788e-09, 9.141029044812399e-10]	IZzrgS0nr2EMh9fSad5IFw
Raleigh	['Atlanta', 'Greer', 'Raleigh', 'Greenville', 'Augusta']	[0.9999996423721313, 3.698565933518694e-07, 1.509951830236389e-09, 7.995589745846132e-10, 6.52045709093052e-11]	zRQ_CQnSvzXBFQ6Ff6RM0w
Raleigh	['Raleigh', 'Greenville', 'Washington', 'Atlanta', 'Augusta']	[1.0, 8.25499477802305e-12, 1.6599429776794585e-21, 2.0080786806057505e-29, 4.1667306267721716e-30]	gV8JN_8-8X0EEH588MG23w
Raleigh	['Raleigh', 'Greenville', 'Atlanta', 'Jacksonville', 'Asheville']	[1.0, 1.2919494533471125e-24, 1.6634805819706706e-28, 1.59283614753371e-28, 3.9895741947610875e-33]	l2ZF0qK77apUMre0H66lUg
Raleigh	['Atlanta', 'Augusta', 'Greer', 'Greenville', 'Raleigh']	[0.8937441110610962, 0.10398383438587189, 0.0022720624692738056, 3.935485184264342e-12, 2.0611372836708063e-16]	YfGBw7ru4qIsP34MWWC1Mw
Raleigh	['Asheville', 'Atlanta', 'Greenville', 'Raleigh', 'Knoxville']	[0.999990701675415, 6.863929229439236e-06, 2.367265324210166e-06, 3.1317380688733465e-08, 1.812566274850269e-08]	-c618UzhXVBsRLVuc3u98g
Raleigh	['Atlanta', 'Raleigh', 'Augusta', 'Greenville', 'Knoxville']	[1.0, 5.0124977946097715e-08, 2.7452341615219478e-12, 9.334388898730942e-19, 3.409309712961833e-21]	6ahlgmnOi3cw0EjP9-SJRQ
Raleigh	['Atlanta', 'Raleigh', 'Augusta', 'Greenville', 'Greer']	[0.9999947547912598, 5.284666258376092e-06, 6.028975062244424e-13, 2.7269696341260165e-16, 4.984466778828802e-21]	AAjLf8Q89JdcMNPJoGDNfA
Raleigh	['Washington', 'Hayward', 'Portland', 'Seattle', 'Sacramento']	[0.9999979734420776, 2.077674707834376e-06, 3.852065368070701e-12, 1.1422569975386848e-13, 9.26961672766013e-18]	VFpzhRYsbeHEL9EwsM0thg
Raleigh	['Raleigh', 'Greer', 'Augusta', 'Greenville', 'Durham']	[0.7169930338859558, 0.28300657868385315, 3.400366210826178e-07, 8.940708891009945e-15, 5.262391661076419e-15]	vgQKjs7n019LOF3K19SVOg
Raleigh	['Raleigh', 'Greer', 'Greenville', 'Augusta', 'Johnson City']	[1.0, 2.7812686812097535e-15, 6.900834910333357e-19, 1.910886800798169e-23, 8.96954886303283e-24]	fIiOpLn3DiOrsIWosf1RLw
Raleigh	['Augusta', 'Savannah', 'Greer', 'Greenville', 'Raleigh']	[0.9980931878089905, 0.0019067679531872272, 1.6740193351525226e-14, 6.632423407546993e-15, 1.057567750854685e-15]	1ovmx8QHNBNWdkYO4fhfkw
Raleigh	['Raleigh', 'Atlanta', 'Augusta', 'Greer', 'Greenville']	[1.0, 1.1193042152857213e-11, 2.7282688117509106e-20, 7.222135738626792e-21, 1.5669144160404957e-22]	CXxKiQwra_O3HFwSLB2EcQ
